matlab_param,matlab_index,yaml_rate_key,reaction,scaling_group,value_at_published_pvec,reactants,products
k5_3r,6,C14_kon_Z_EnAcACP,C14_FabZ_release_EnAcACP,,0.16221989916734,C14_EnAcACP + FabZ,C14_FabZ_EnAcACP
k5_3r,6,C14_kon_Z_EnAcACP,C14_FabZ_release_EnAcACP_unsat,,0.16221989916734,C14_EnAcACP_unsat + FabZ,C14_FabZ_EnAcACP_unsat
k5_3r,7,C16_kon_Z_EnAcACP,C16_FabZ_release_EnAcACP,,0.309130479357,C16_EnAcACP + FabZ,C16_FabZ_EnAcACP
k5_3r,7,C16_kon_Z_EnAcACP,C16_FabZ_release_EnAcACP_unsat,,0.309130479357,C16_EnAcACP_unsat + FabZ,C16_FabZ_EnAcACP_unsat
k5_3r,8,C18_kon_Z_EnAcACP,C18_FabZ_release_EnAcACP,,0.309130479357,C18_EnAcACP + FabZ,C18_FabZ_EnAcACP
k5_3r,8,C18_kon_Z_EnAcACP,C18_FabZ_release_EnAcACP_unsat,,0.309130479357,C18_EnAcACP_unsat + FabZ,C18_FabZ_EnAcACP_unsat
k5_3r,9,C20_kon_Z_EnAcACP,C20_FabZ_release_EnAcACP,,0.309130479357,C20_EnAcACP + FabZ,C20_FabZ_EnAcACP
k5_3r,9,C20_kon_Z_EnAcACP,C20_FabZ_release_EnAcACP_unsat,,0.309130479357,C20_EnAcACP_unsat + FabZ,C20_FabZ_EnAcACP_unsat
k5_inh_f,,kon_Z_ACP,FabZ_inhibition_by_ACP,,0.00241,ACP + FabZ,FabZ_ACP
k5_inh_r,,koff_Z_ACP,FabZ_inhibition_by_ACP,,0.091574,FabZ_ACP,ACP
k6_1f,1,kon_I_NADH,FabI_binding_NADH,,30.12478895608,FabI + NADH,FabI_NADH
k6_1r,1,koff_I_NADH,FabI_binding_NADH,,602.4957791216,FabI_NADH,NADH
k6_2f,1,kon_I_EnAcACP,C4_FabI_binding_EnAcACP,,8.243479449519999,C4_EnAcACP + FabI_NADH,C4_FabI_NADH_EnAcACP
k6_2f,2,kon_I_EnAcACP,C6_FabI_binding_EnAcACP,,8.243479449519999,C6_EnAcACP + FabI_NADH,C6_FabI_NADH_EnAcACP
k6_2f,3,kon_I_EnAcACP,C8_FabI_binding_EnAcACP,,8.243479449519999,C8_EnAcACP + FabI_NADH,C8_FabI_NADH_EnAcACP
k6_2f,4,kon_I_EnAcACP,C10_FabI_binding_EnAcACP,,8.243479449519999,C10_EnAcACP + FabI_NADH,C10_FabI_NADH_EnAcACP
k6_2f,5,kon_I_EnAcACP,C12_FabI_binding_EnAcACP,,8.243479449519999,C12_EnAcACP + FabI_NADH,C12_FabI_NADH_EnAcACP
k6_2f,5,kon_I_EnAcACP,C12_FabI_binding_EnAcACP_unsat,,8.243479449519999,C12_EnAcACP_unsat + FabI_NADH,C12_FabI_NADH_EnAcACP_unsat
k6_2f,6,kon_I_EnAcACP,C14_FabI_binding_EnAcACP,,8.243479449519999,C14_EnAcACP + FabI_NADH,C14_FabI_NADH_EnAcACP
k6_2f,6,kon_I_EnAcACP,C14_FabI_binding_EnAcACP_unsat,,8.243479449519999,C14_EnAcACP_unsat + FabI_NADH,C14_FabI_NADH_EnAcACP_unsat
k6_2f,7,kon_I_EnAcACP,C16_FabI_binding_EnAcACP,,8.243479449519999,C16_EnAcACP + FabI_NADH,C16_FabI_NADH_EnAcACP
k6_2f,7,kon_I_EnAcACP,C16_FabI_binding_EnAcACP_unsat,,8.243479449519999,C16_EnAcACP_unsat + FabI_NADH,C16_FabI_NADH_EnAcACP_unsat
k6_2f,8,kon_I_EnAcACP,C18_FabI_binding_EnAcACP,,8.243479449519999,C18_EnAcACP + FabI_NADH,C18_FabI_NADH_EnAcACP
k6_2f,8,kon_I_EnAcACP,C18_FabI_binding_EnAcACP_unsat,,8.243479449519999,C18_EnAcACP_unsat + FabI_NADH,C18_FabI_NADH_EnAcACP_unsat
k6_2f,9,kon_I_EnAcACP,C20_FabI_binding_EnAcACP,,8.243479449519999,C20_EnAcACP + FabI_NADH,C20_FabI_NADH_EnAcACP
